unitid,month,high_earning,post_scorecard,avg_index,n_keywords
100812,2014-01-01,0,0,0.971850193551044,12
100812,2014-02-01,0,0,0.103704771214851,12
100812,2014-03-01,0,0,-0.0918060926712912,15
100812,2014-04-01,0,0,0.520468313475639,12
100812,2014-05-01,0,0,-0.396496455785686,12
100812,2014-06-01,0,0,-0.616952761482955,15
100812,2014-07-01,0,0,-0.207984622142357,12
100812,2014-08-01,0,0,0.857400723964808,15
100812,2014-09-01,0,0,0.163197833057546,12
100812,2014-10-01,0,0,0.314346615785577,12
100812,2014-11-01,0,0,0.123256891696222,15
100812,2014-12-01,0,0,-1.0478105560044,12
100812,2015-01-01,0,0,0.237951755754074,12
100812,2015-02-01,0,0,-0.557637884228531,12
100812,2015-03-01,0,0,-0.70524870801332,15
100812,2015-04-01,0,0,0.137980819966857,12
100812,2015-05-01,0,0,0.243199176289319,15
100812,2015-06-01,0,0,-0.527854006882916,12
100812,2015-07-01,0,0,-0.137063812229282,12
100812,2015-08-01,0,0,0.438500345892716,15
100812,2015-09-01,0,1,0.388652707267857,12
100812,2015-10-01,0,1,0.0490237529074313,12
100812,2015-11-01,0,1,-0.191856452075836,15
100812,2015-12-01,0,1,-1.22034807050669,12
100812,2016-01-01,0,1,-0.0241659861773074,15
100812,2016-02-01,0,1,-0.882903763913078,12
100812,2016-03-01,0,1,-0.435917603561294,9
100830,2013-03-01,0,0,0.740854094429577,6
100830,2013-04-01,0,0,1.04665681733875,12
100830,2013-05-01,0,0,0.990584344458007,12
100830,2013-06-01,0,0,0.445976691736174,15
100830,2013-07-01,0,0,0.779100188227079,12
100830,2013-08-01,0,0,0.807702817475291,12
100830,2013-09-01,0,0,0.313267892404823,15
100830,2013-10-01,0,0,0.504114683067488,12
100830,2013-11-01,0,0,0.132982501222347,12
100830,2013-12-01,0,0,-0.170375705260991,15
100830,2014-01-01,0,0,0.741817417152631,12
100830,2014-02-01,0,0,0.076831596278819,12
100830,2014-03-01,0,0,-0.18589236642634,15
100830,2014-04-01,0,0,0.128639695301543,12
100830,2014-05-01,0,0,-0.427334604542315,12
100830,2014-06-01,0,0,-0.565461051462006,15
100830,2014-07-01,0,0,-0.184315157288335,12
100830,2014-08-01,0,0,0.119346654161539,15
100830,2014-09-01,0,0,-0.0707844504977747,12
100830,2014-10-01,0,0,0.176783438436931,12
100830,2014-11-01,0,0,0.124484471807464,15
100830,2014-12-01,0,0,-0.908480246259433,12
100830,2015-01-01,0,0,-0.0135178215999506,12
100830,2015-02-01,0,0,0.0758071108091071,12
100830,2015-03-01,0,0,-0.489253253636463,15
100830,2015-04-01,0,0,-0.292644772511526,12
100830,2015-05-01,0,0,-0.149485034442137,15
100830,2015-06-01,0,0,-0.266237828213518,12
100830,2015-07-01,0,0,-0.215697242213268,12
100830,2015-08-01,0,0,-0.144598365520928,15
100830,2015-09-01,0,1,-0.587474550235397,12
100830,2015-10-01,0,1,-0.243763850297341,12
100830,2015-11-01,0,1,-0.147112735667533,15
100830,2015-12-01,0,1,-1.06735105964594,12
100830,2016-01-01,0,1,-0.354519371851864,15
100830,2016-02-01,0,1,0.0105831084088762,12
100830,2016-03-01,0,1,-0.119802928778051,9
100858,2013-03-01,1,0,0.182162888741262,8
100858,2013-04-01,1,0,0.243033276628599,16
